adcode,city,name_zh,name_en,income,income_kind,school,college_hc,poverty_inv,income_mix,high_skill,inclusion,transit,pop_wan,source,note_zh,note_en
110101,beijing,东城区,Dongcheng,96429,cny_pc,90,78,88,62,86,28,95,70.8,official,核心城区，重点中学密集，户籍入学门槛极高。,Core district; dense key schools; very tight hukou-based enrolment.
110102,beijing,西城区,Xicheng,104187,cny_pc,95,80,92,58,94,22,96,109.6,official,金融街所在地，市重点高中最集中，住房与学区高度资本化。,Financial Street; highest concentration of municipal key high schools.
110105,beijing,朝阳区,Chaoyang,92501,cny_pc,86,72,82,70,90,40,92,344.7,official,CBD 与使馆区，高技能岗位多，区内学校质量差异大。,"CBD and embassy area; many high-skill jobs, uneven schools."
110106,beijing,丰台区,Fengtai,79326,cny_pc,72,55,70,68,65,48,82,201.5,official,南城传统居住区，近年来交通改善，优质学位仍少于北城。,South-city residential district; fewer elite school seats.
110107,beijing,石景山区,Shijingshan,91354,cny_pc,74,58,78,64,70,42,80,56.8,official,首钢转型后服务业上升，教育资源中等偏上。,Post-industrial conversion; mid-to-upper schools.
110108,beijing,海淀区,Haidian,101315,cny_pc,99,100,86,72,96,35,90,313.5,official,中关村与清北人附，对低收入家庭的教育回报在全市最高。,Zhongguancun + top universities/high schools; highest education returns.
110109,beijing,门头沟区,Mentougou,64700,cny_pc,58,35,55,60,40,52,55,39.3,compiled,西部山区，产业与学位供给都弱于城六区。,Western hills; thinner industry and school supply.
110111,beijing,房山区,Fangshan,56000,cny_pc,55,38,50,58,42,55,52,131.3,compiled,西南郊区，制造业与居住功能为主。,Southwest suburb; manufacturing and housing.
110112,beijing,通州区,Tongzhou,62000,cny_pc,68,45,58,65,55,58,70,184.0,compiled,城市副中心，公共投资上升，学校质量仍在追赶。,"Sub-center; public investment rising, schools catching up."
110113,beijing,顺义区,Shunyi,53000,cny_pc,70,42,60,62,62,50,65,132.5,compiled,临空经济与国际学校，户籍与本地学位对普通家庭一般。,Airport economy and international schools; ordinary hukou access is average.
110114,beijing,昌平区,Changping,58000,cny_pc,76,70,56,64,58,52,68,226.9,compiled,沙河大学城拉高人力资本，但就业与户籍分割明显。,University town raises human capital; jobs and hukou remain split.
110115,beijing,大兴区,Daxing,61000,cny_pc,66,50,58,66,60,55,72,199.4,compiled,亦庄与大兴机场带动，基础教育中等。,Yizhuang and the new airport; mid-tier schools.
